gene_id	Op_Prot_Nat_A	Op_Prot_Nat_B	Op_Prot_Nat_C	Tr_Prot_Nat_A	Tr_Prot_Nat_B	Tr_Prot_Nat_C	Tr_Prot_Alk_A	Tr_Prot_Alk_B	Tr_Prot_Alk_C
scaffold6:hit:79294	0	0	0	0	0	0	0	0	0
scaffold6:hit:79182	0	0	0.25	0	0	0	0	0	0
scaffold6:hit:79175	0	1.55	0.99	1.73	4.74	1.16	3.14	5.26	2.3
scaffold598:hit:342064	1.11	0.42	0	0	0.73	0.82	0	0	0
scaffold59:hit:248855	0	0	0	0	0	0	0	0	0
scaffold59:hit:248769	1.24	1.42	1.66	1.34	2.83	1.99	2.77	5.01	2.79
scaffold59:hit:248765	89.66	87.24	92.09	88.23	134.07	85.95	98.32	99.95	112.33
scaffold59:hit:248739	24.46	27.78	24.34	27.84	25.81	24.83	25.72	30.53	27.14
scaffold59:hit:248737	0.27	1.71	1.55	2.34	7.43	2.83	5.36	12.46	5
scaffold59:hit:248729	172.04	134.24	163.69	200.57	159.62	165.09	168.77	148.27	192.81
scaffold59:hit:248609	2.46	0	0	1.24	0	0.47	1.87	0.88	0
scaffold59:hit:248608	0	0	0	0	0	0	0	0	0
scaffold59:hit:248515	5.66	6.31	5.65	5.13	7.93	7.86	5.11	6.66	7.66
scaffold59:hit:248504	14.13	22.21	15.09	21.29	24.12	17	13.8	21.34	19.02
scaffold59:hit:248499	28.66	31.42	29.93	40.51	25.47	32.76	34.41	33.99	32.13
scaffold59:hit:248494	79.65	90.67	76.64	81.29	94.93	70.64	74.34	98.54	85.45
scaffold580:hit:341758	0	0	0	0	0.87	0	1.62	0	0
scaffold58:hit:247489	0.07	0.09	0	0.15	2.82	0.02	0.23	2.23	0.21
scaffold58:hit:247406	0	0	0	0	27.65	0	0	21.64	0
scaffold58:hit:247403	0	0	0	0	0	0	0	0	0
scaffold58:hit:247402	0.29	0	0	0.83	0.34	0.16	0	0	0
scaffold58:hit:247394	0	0	0	0	0	0	0	0	0
scaffold58:hit:247255	0	0	0	0	0	0	0	0	0
scaffold58:hit:247215	4.22	3.59	2.87	5.22	5.07	3.41	3.29	4.96	4.66
scaffold58:hit:247213	0	0	0	0	0	0	0	0	0
scaffold58:hit:247212	0	0	0	0	0	0	0	0	0
scaffold58:hit:247211	0	0	0	0	0	0	0	0	0
scaffold58:hit:247210	0	0	0	0	0	0	0	0	0
scaffold58:hit:247171	0	0	0	0	0	0	0	0	0
scaffold58:hit:247165	0	0	0	0	0	0	0	0	0
scaffold58:hit:247164	0	0	0	0	0	0	0	0	0
scaffold577:hit:341714	0	65.91	71.59	82.79	141.13	96.93	94.54	199.35	155.42
scaffold571:hit:341647	36.71	41.99	41.52	57.92	60.61	43.83	41.62	53.21	43.46
scaffold57:hit:244862	0.39	0.68	0.57	0.37	0.55	0.39	0.3	0.61	0.55
scaffold57:hit:244841	0	0	0	0	2.35	1.14	0	1.99	0
scaffold57:hit:244754	1.45	0	1.36	0.71	0.58	0.81	1.08	0	0.47
